Date,Content ID,Reel Title,Platform,Content Pillar,Property Name,Views,Reach,Likes,Saves,Shares,Comments,Leads Generated,Property Inquiries,Site Visits Booked,Conversions,Conversion Rate,Watch Time Avg,Hook Rate,Engagement Rate,Notes
2026-06-01,W1-MON-01,"Cluster Premium Depok yang Bikin Kamu Lupa Mau Pulang",Instagram Reels,MARKETING,Premiere Promenade,,,,,,,,,,,,,,,
2026-06-01,W1-MON-01,"Cluster Premium Depok yang Bikin Kamu Lupa Mau Pulang",TikTok,MARKETING,Premiere Promenade,,,,,,,,,,,,,,,
2026-06-01,W1-MON-01,"Cluster Premium Depok yang Bikin Kamu Lupa Mau Pulang",YouTube Shorts,MARKETING,Premiere Promenade,,,,,,,,,,,,,,,
2026-06-01,W1-MON-02,"The Philosophia: Rumah dengan Konsep yang Beda dari Yang Lain",Instagram Reels,MARKETING,The Philosophia,,,,,,,,,,,,,,,
2026-06-01,W1-MON-02,"The Philosophia: Rumah dengan Konsep yang Beda dari Yang Lain",TikTok,MARKETING,The Philosophia,,,,,,,,,,,,,,,
2026-06-01,W1-MON-02,"The Philosophia: Rumah dengan Konsep yang Beda dari Yang Lain",YouTube Shorts,MARKETING,The Philosophia,,,,,,,,,,,,,,,
2026-06-02,W1-TUE-01,"Shila at Sawangan: Hidden Gem di Selatan Jakarta",Instagram Reels,MARKETING,Shila at Sawangan,,,,,,,,,,,,,,,
2026-06-02,W1-TUE-01,"Shila at Sawangan: Hidden Gem di Selatan Jakarta",TikTok,MARKETING,Shila at Sawangan,,,,,,,,,,,,,,,
2026-06-02,W1-TUE-02,"Telaga Kahuripan: Developer yang Diam-diam Punya Proyek Terbaik Tahun Ini",Instagram Reels,MARKETING,Telaga Kahuripan,,,,,,,,,,,,,,,
2026-06-02,W1-TUE-02,"Telaga Kahuripan: Developer yang Diam-diam Punya Proyek Terbaik Tahun Ini",TikTok,MARKETING,Telaga Kahuripan,,,,,,,,,,,,,,,
2026-06-03,W1-WED-01,"Jangan Ambil KPR Sebelum Tahu Rumus Ini",Instagram Reels,EDUCATION,-,,,,,,,,,,,,,,,
2026-06-03,W1-WED-01,"Jangan Ambil KPR Sebelum Tahu Rumus Ini",TikTok,EDUCATION,-,,,,,,,,,,,,,,,
2026-06-03,W1-WED-02,"Candi Aisyah: Rumah 600 Jutaan yang Terlihat 1 Miliar",Instagram Reels,MARKETING,Candi Aisyah at Garden,,,,,,,,,,,,,,,
2026-06-03,W1-WED-02,"Candi Aisyah: Rumah 600 Jutaan yang Terlihat 1 Miliar",TikTok,MARKETING,Candi Aisyah at Garden,,,,,,,,,,,,,,,
2026-06-04,W1-THU-01,"The Brawijaya Pamulang: Townhouse Premium Harga Waras",Instagram Reels,MARKETING,The Brawijaya Pamulang,,,,,,,,,,,,,,,
2026-06-04,W1-THU-01,"The Brawijaya Pamulang: Townhouse Premium Harga Waras",TikTok,MARKETING,The Brawijaya Pamulang,,,,,,,,,,,,,,,
2026-06-04,W1-THU-02,"POV: Cari Rumah Pertama Bareng Pasangan",Instagram Reels,ENTERTAINING,-,,,,,,,,,,,,,,,
2026-06-04,W1-THU-02,"POV: Cari Rumah Pertama Bareng Pasangan",TikTok,ENTERTAINING,-,,,,,,,,,,,,,,,
2026-06-05,W1-FRI-01,"Grand Duta City vs Nuansa Indah Village: Mana yang Lebih Worth It?",Instagram Reels,MARKETING,"Grand Duta City; Nuansa Indah Village",,,,,,,,,,,,,,,
2026-06-05,W1-FRI-01,"Grand Duta City vs Nuansa Indah Village: Mana yang Lebih Worth It?",TikTok,MARKETING,"Grand Duta City; Nuansa Indah Village",,,,,,,,,,,,,,,
2026-06-05,W1-FRI-02,"Waktu Terbaik Beli Rumah Itu Bukan Januari... Tapi Ini",Instagram Reels,EDUCATION,-,,,,,,,,,,,,,,,
2026-06-05,W1-FRI-02,"Waktu Terbaik Beli Rumah Itu Bukan Januari... Tapi Ini",TikTok,EDUCATION,-,,,,,,,,,,,,,,,


---WEEKLY SUMMARY DASHBOARD---
Week,Total Posts,Total Views,Total Reach,Total Likes,Total Saves,Total Shares,Total Comments,Total Leads,Total Inquiries,Total Site Visits,Avg Engagement Rate,Best Performing Reel,Top Pillar
Week 1,10,,,,,,,,,,,,
Week 2,10,,,,,,,,,,,,
Week 3,10,,,,,,,,,,,,
Week 4,10,,,,,,,,,,,,
Week 5,10,,,,,,,,,,,,
Week 6,10,,,,,,,,,,,,
Week 7,10,,,,,,,,,,,,
Week 8,10,,,,,,,,,,,,
Week 9,10,,,,,,,,,,,,
Week 10,10,,,,,,,,,,,,
Week 11,10,,,,,,,,,,,,
Week 12,10,,,,,,,,,,,,

---MONTHLY KPI TARGETS---
Metric,Month 1 Target,Month 2 Target,Month 3 Target,Notes
Avg Views per Reel,5000,10000,20000,Focus on hook optimization and trending audio
Avg Engagement Rate,5%,7%,10%,Increase saves and shares through value content
Leads per Week,10,20,35,CTA optimization and DM automation
Property Inquiries per Week,5,10,20,Qualify leads through content matching
Site Visits per Week,3,5,10,Convert inquiries to physical visits
Follower Growth Rate,5%,8%,10%,Consistency and shareability focus
Save Rate,3%,5%,8%,Educational content drives saves
Share Rate,2%,4%,6%,Comparison and quiz content drives shares
Comment Rate,3%,5%,7%,CTA optimization and engagement hooks
Hook Rate (3s retention),40%,50%,60%,A/B test hooks continuously

---CONTENT PILLAR PERFORMANCE---
Pillar,Posts This Period,Avg Views,Avg Engagement,Leads Generated,Best Content Type,Worst Content Type,Notes
MARKETING,,,,,,,
EDUCATION,,,,,,,
ENTERTAINING,,,,,,,

---PROPERTY PERFORMANCE RANKING---
Property Name,Times Featured,Total Views,Total Leads,Total Inquiries,Site Visits,Engagement Score,Priority Level
Premiere Promenade,,,,,,,
The Philosophia,,,,,,,
Shila at Sawangan,,,,,,,
Telaga Kahuripan,,,,,,,
Candi Aisyah at Garden,,,,,,,
The Brawijaya Pamulang,,,,,,,
Svacasa Sawangan,,,,,,,
Terra Estetic Town House,,,,,,,
Grand Duta City,,,,,,,
Nuansa Indah Village,,,,,,,
Morizono at Garden Sawangan,,,,,,,
Gardenia dan Ever Green,,,,,,,
Paradise Resort City,,,,,,,
Wangsa Serpong,,,,,,,
Nano Town Hills,,,,,,,
Assana Village,,,,,,,
Hcity Sawangan,,,,,,,
Aura Home,,,,,,,
The Pine,,,,,,,
The Boulevard Bogor,,,,,,,
Martadinata Residence,,,,,,,
The Avoria,,,,,,,
Kemang Verde,,,,,,,
Kemang Eminence Resort,,,,,,,
The Ayase,,,,,,,
Lake Home Serpong,,,,,,,
New Permata Residence,,,,,,,
Kalimaya Park Pamulang,,,,,,,